Epoch 00098 | Loss 1.5993 | Accuracy 0.5644 
Epoch 00097 | Loss 1.4042 | Accuracy 0.5866 
Epoch 00096 | Loss 1.3365 | Accuracy 0.5966 
Epoch 00095 | Loss 1.2961 | Accuracy 0.6017 
Epoch 00094 | Loss 1.2686 | Accuracy 0.6006 
Epoch 00093 | Loss 1.2483 | Accuracy 0.6050 
Epoch 00092 | Loss 1.2330 | Accuracy 0.6041 
Epoch 00091 | Loss 1.2217 | Accuracy 0.6084 
Epoch 00090 | Loss 1.2085 | Accuracy 0.6096 
Epoch 00089 | Loss 1.1995 | Accuracy 0.6157 
Epoch 00088 | Loss 1.1891 | Accuracy 0.6115 
Epoch 00087 | Loss 1.1826 | Accuracy 0.6112 
Epoch 00086 | Loss 1.1790 | Accuracy 0.6076 
Epoch 00085 | Loss 1.1679 | Accuracy 0.6138 
Epoch 00084 | Loss 1.1641 | Accuracy 0.6166 
Epoch 00083 | Loss 1.1587 | Accuracy 0.6176 
Epoch 00082 | Loss 1.1536 | Accuracy 0.6142 
Epoch 00081 | Loss 1.1488 | Accuracy 0.6166 
Epoch 00080 | Loss 1.1445 | Accuracy 0.6152 
Epoch 00079 | Loss 1.1428 | Accuracy 0.6123 
Epoch 00078 | Loss 1.1339 | Accuracy 0.6170 
Epoch 00077 | Loss 1.1330 | Accuracy 0.6180 
Epoch 00076 | Loss 1.1275 | Accuracy 0.6164 
Epoch 00075 | Loss 1.1228 | Accuracy 0.6117 
Epoch 00074 | Loss 1.1192 | Accuracy 0.6220 
Epoch 00073 | Loss 1.1145 | Accuracy 0.6197 
Epoch 00072 | Loss 1.1096 | Accuracy 0.6172 
Epoch 00071 | Loss 1.1111 | Accuracy 0.6178 
Epoch 00070 | Loss 1.1046 | Accuracy 0.6193 
Epoch 00069 | Loss 1.1045 | Accuracy 0.6179 
Epoch 00068 | Loss 1.1023 | Accuracy 0.6175 
Epoch 00067 | Loss 1.0976 | Accuracy 0.6179 
Epoch 00066 | Loss 1.0967 | Accuracy 0.6109 
Epoch 00065 | Loss 1.0911 | Accuracy 0.6191 
Epoch 00064 | Loss 1.0889 | Accuracy 0.6162 
Epoch 00063 | Loss 1.0897 | Accuracy 0.6115 
Epoch 00062 | Loss 1.0827 | Accuracy 0.6190 
Epoch 00061 | Loss 1.0801 | Accuracy 0.6252 
Epoch 00060 | Loss 1.0794 | Accuracy 0.6229 
Epoch 00059 | Loss 1.0737 | Accuracy 0.6153 
Epoch 00058 | Loss 1.0726 | Accuracy 0.6285 
Epoch 00057 | Loss 1.0717 | Accuracy 0.6263 
Epoch 00056 | Loss 1.0664 | Accuracy 0.6102 
Epoch 00055 | Loss 1.0661 | Accuracy 0.6222 
Epoch 00054 | Loss 1.0608 | Accuracy 0.6251 
Epoch 00053 | Loss 1.0616 | Accuracy 0.6189 
Epoch 00052 | Loss 1.0583 | Accuracy 0.6223 
Epoch 00051 | Loss 1.0559 | Accuracy 0.6040 
Epoch 00050 | Loss 1.0570 | Accuracy 0.6259 
Epoch 00049 | Loss 1.0539 | Accuracy 0.6180 
Epoch 00048 | Loss 1.0498 | Accuracy 0.6252 
Epoch 00047 | Loss 1.0490 | Accuracy 0.6098 
Epoch 00046 | Loss 1.0474 | Accuracy 0.6253 
Epoch 00045 | Loss 1.0439 | Accuracy 0.6212 
Epoch 00044 | Loss 1.0442 | Accuracy 0.6227 
Epoch 00043 | Loss 1.0384 | Accuracy 0.6238 
Epoch 00042 | Loss 1.0403 | Accuracy 0.6208 
Epoch 00041 | Loss 1.0376 | Accuracy 0.6188 
Epoch 00040 | Loss 1.0331 | Accuracy 0.6259 
Epoch 00039 | Loss 1.0358 | Accuracy 0.6249 
Epoch 00038 | Loss 1.0293 | Accuracy 0.6283 
Epoch 00037 | Loss 1.0289 | Accuracy 0.6217 
Epoch 00036 | Loss 1.0263 | Accuracy 0.6196 
Epoch 00035 | Loss 1.0237 | Accuracy 0.6180 
Epoch 00034 | Loss 1.0238 | Accuracy 0.6214 
Epoch 00033 | Loss 1.0240 | Accuracy 0.6263 
Epoch 00032 | Loss 1.0183 | Accuracy 0.6166 
Epoch 00031 | Loss 1.0188 | Accuracy 0.6286 
Epoch 00030 | Loss 1.0169 | Accuracy 0.6232 
Epoch 00029 | Loss 1.0123 | Accuracy 0.6203 
Epoch 00028 | Loss 1.0091 | Accuracy 0.6192 
Epoch 00027 | Loss 1.0134 | Accuracy 0.6198 
Epoch 00026 | Loss 1.0060 | Accuracy 0.6227 
Epoch 00025 | Loss 1.0077 | Accuracy 0.6234 
Epoch 00024 | Loss 1.0061 | Accuracy 0.6214 
Epoch 00023 | Loss 1.0026 | Accuracy 0.6258 
Epoch 00022 | Loss 1.0035 | Accuracy 0.6211 
Epoch 00021 | Loss 1.0005 | Accuracy 0.6248 
Epoch 00020 | Loss 1.0024 | Accuracy 0.6182 
Epoch 00019 | Loss 0.9967 | Accuracy 0.6170 
Epoch 00018 | Loss 0.9974 | Accuracy 0.6258 
Epoch 00017 | Loss 0.9951 | Accuracy 0.6224 
Epoch 00016 | Loss 0.9927 | Accuracy 0.6279 
Epoch 00015 | Loss 0.9930 | Accuracy 0.6269 
Epoch 00014 | Loss 0.9918 | Accuracy 0.6138 
Epoch 00013 | Loss 0.9914 | Accuracy 0.6254 
Epoch 00012 | Loss 0.9848 | Accuracy 0.6237 
Epoch 00011 | Loss 0.9848 | Accuracy 0.6242 
Epoch 00010 | Loss 0.9838 | Accuracy 0.6278 
Epoch 00009 | Loss 0.9871 | Accuracy 0.6263 
Epoch 00008 | Loss 0.9813 | Accuracy 0.6286 
Epoch 00007 | Loss 0.9786 | Accuracy 0.6232 
Epoch 00006 | Loss 0.9784 | Accuracy 0.6240 
Epoch 00005 | Loss 0.9785 | Accuracy 0.6193 
Epoch 00004 | Loss 0.9770 | Accuracy 0.6231 
Epoch 00003 | Loss 0.9792 | Accuracy 0.6129 
Epoch 00002 | Loss 0.9744 | Accuracy 0.6219 
Epoch 00001 | Loss 0.9717 | Accuracy 0.6215 
Epoch 00000 | Loss 0.9710 | Accuracy 0.6189 
Test Accuracy 0.5569
2024-11-09 00:48:58 Dataset ogbn-arxiv, Batch size 1024, Hybrid 1, Epochs 0

Epoch 00100 | Loss 3.3911 | Accuracy 0.6870 
Epoch 00098 | Loss 1.0866 | Accuracy 0.7839 
Epoch 00097 | Loss 0.7569 | Accuracy 0.8187 
Epoch 00096 | Loss 0.6293 | Accuracy 0.8378 
Epoch 00095 | Loss 0.5669 | Accuracy 0.8493 
Epoch 00094 | Loss 0.5319 | Accuracy 0.8555 
Epoch 00093 | Loss 0.5582 | Accuracy 0.8575 
Epoch 00092 | Loss 0.5242 | Accuracy 0.8631 
Epoch 00091 | Loss 0.4839 | Accuracy 0.8699 
Epoch 00090 | Loss 0.4582 | Accuracy 0.8738 
Epoch 00089 | Loss 0.4700 | Accuracy 0.8742 
Epoch 00088 | Loss 0.4467 | Accuracy 0.8771 
Epoch 00087 | Loss 0.4380 | Accuracy 0.8754 
Epoch 00086 | Loss 0.4537 | Accuracy 0.8756 
Epoch 00085 | Loss 0.4339 | Accuracy 0.8761 
Epoch 00084 | Loss 0.4193 | Accuracy 0.8807 
Epoch 00083 | Loss 0.4232 | Accuracy 0.8804 
Epoch 00082 | Loss 0.3962 | Accuracy 0.8844 
Epoch 00081 | Loss 0.4178 | Accuracy 0.8864 
Epoch 00080 | Loss 0.3947 | Accuracy 0.8847 
