# Profling times.
2024-12-07 15:56:15,ogbn-papers100M,1024,nbr,12000000,0,0.8241837024688721,0.013400793075561523,5.0215466022491455,0.7928237915039062,0.013045787811279297,4.098778963088989,0.7962117195129395,0.013459920883178711,4.220881700515747,0.7928504943847656,0.01324772834777832,4.206906795501709,0.7991771697998047,0.013242721557617188,4.2305474281311035,
2024-12-07 17:12:37,igb-large,8192,nbr,80449000,0,13.119895219802856,0.08418488502502441,26.94150972366333,13.055865287780762,0.08415651321411133,25.179009437561035,13.059615135192871,0.08390974998474121,25.191932678222656,13.067663192749023,0.0836787223815918,25.201971769332886,13.063771724700928,0.08402895927429199,25.199129819869995,
2024-12-07 17:20:28,igb-large,1024,nbr,80449000,0,31.795706272125244,0.6839725971221924,134.4845700263977,31.828863859176636,0.6869568824768066,134.19697546958923,31.68634557723999,0.6807689666748047,132.46380805969238,31.84469199180603,0.6874451637268066,134.0593066215515,31.758991718292236,0.684227705001831,133.71246552467346,





















